team,year,statName,statValue,category
Buffalo,2022,interceptionYards,167,
Buffalo,2022,possessionTime,24404,
Buffalo,2022,fumblesRecovered,15,
Buffalo,2022,fourthDowns,31,
Buffalo,2022,kickReturns,28,
Buffalo,2022,rushingTDs,22,
Buffalo,2022,passingTDs,15,
Buffalo,2022,passCompletions,250,
Buffalo,2022,thirdDowns,197,
Buffalo,2022,tacklesForLoss,78,
Buffalo,2022,penalties,61,
Buffalo,2022,sacks,24,
Buffalo,2022,totalYards,4615,
Buffalo,2022,passAttempts,419,
Buffalo,2022,fumblesLost,9,
Buffalo,2022,kickReturnTDs,0,
Buffalo,2022,kickReturnYards,594,
Buffalo,2022,rushingYards,1820,
Buffalo,2022,puntReturns,10,
Buffalo,2022,thirdDownConversions,81,
Buffalo,2022,games,13,
Buffalo,2022,turnovers,17,
BYU,2022,tacklesForLoss,48,
BYU,2022,netPassingYards,3246,
BYU,2022,totalYards,5539,
BYU,2022,rushingTDs,19,
BYU,2022,firstDowns,285,
BYU,2022,kickReturnYards,450,
BYU,2022,games,13,
BYU,2022,interceptions,7,
BYU,2022,rushingYards,2293,
BYU,2022,sacks,15,
BYU,2022,fourthDowns,24,
BYU,2022,kickReturnTDs,0,
BYU,2022,penalties,74,
BYU,2022,penaltyYards,692,
BYU,2022,fourthDownConversions,8,
BYU,2022,puntReturnTDs,0,
BYU,2022,puntReturns,14,
BYU,2022,passCompletions,257,
BYU,2022,possessionTime,22744,
BYU,2022,passesIntercepted,8,
BYU,2022,passingTDs,32,
BYU,2022,rushingAttempts,438,
BYU,2022,puntReturnYards,127,
BYU,2022,turnovers,10,
BYU,2022,passAttempts,392,
BYU,2022,interceptionTDs,3,
BYU,2022,fumblesLost,3,
BYU,2022,thirdDowns,157,
BYU,2022,kickReturns,23,
BYU,2022,interceptionYards,150,
BYU,2022,fumblesRecovered,5,
BYU,2022,thirdDownConversions,71,
California,2022,rushingYards,1158,
California,2022,puntReturnYards,240,
California,2022,netPassingYards,3217,
California,2022,passesIntercepted,11,
California,2022,interceptionTDs,1,
California,2022,thirdDowns,167,
California,2022,puntReturns,22,
California,2022,interceptions,9,
California,2022,passAttempts,466,
California,2022,interceptionYards,127,
California,2022,turnovers,12,
California,2022,kickReturns,20,
California,2022,totalYards,4375,
California,2022,passCompletions,291,
California,2022,rushingAttempts,318,
California,2022,rushingTDs,10,
California,2022,possessionTime,20679,
California,2022,games,12,
California,2022,fumblesLost,3,
California,2022,penalties,63,
California,2022,passingTDs,23,
California,2022,penaltyYards,535,
California,2022,sacks,16,
California,2022,puntReturnTDs,0,
California,2022,tacklesForLoss,53,
California,2022,fourthDowns,22,
California,2022,fourthDownConversions,12,
California,2022,firstDowns,231,
California,2022,thirdDownConversions,59,
California,2022,fumblesRecovered,13,
California,2022,kickReturnTDs,0,
California,2022,kickReturnYards,342,
Central Michigan,2022,turnovers,28,
Central Michigan,2022,tacklesForLoss,99,
Central Michigan,2022,kickReturns,35,
Central Michigan,2022,fourthDowns,33,
Central Michigan,2022,fumblesLost,18,
Central Michigan,2022,puntReturnYards,111,
Central Michigan,2022,kickReturnYards,701,
Central Michigan,2022,rushingYards,1910,
Central Michigan,2022,thirdDowns,170,
Central Michigan,2022,firstDowns,239,
Central Michigan,2022,passAttempts,389,
Central Michigan,2022,interceptions,10,
Central Michigan,2022,puntReturns,22,
Central Michigan,2022,netPassingYards,2497,
Central Michigan,2022,penaltyYards,753,
Central Michigan,2022,totalYards,4407,
Central Michigan,2022,fumblesRecovered,8,
Central Michigan,2022,rushingAttempts,444,
Central Michigan,2022,passCompletions,219,
Central Michigan,2022,fourthDownConversions,18,
Central Michigan,2022,passesIntercepted,4,
Central Michigan,2022,thirdDownConversions,60,
Central Michigan,2022,sacks,30,
Central Michigan,2022,interceptionTDs,0,
Central Michigan,2022,kickReturnTDs,0,
Central Michigan,2022,games,12,
Central Michigan,2022,puntReturnTDs,0,
Central Michigan,2022,rushingTDs,22,
Central Michigan,2022,penalties,83,
Central Michigan,2022,passingTDs,16,
Central Michigan,2022,interceptionYards,29,
Central Michigan,2022,possessionTime,20720,
Charlotte,2022,turnovers,21,
Charlotte,2022,firstDowns,254,
Charlotte,2022,sacks,17,
Charlotte,2022,thirdDowns,159,
Charlotte,2022,penalties,80,
Charlotte,2022,rushingYards,1389,
Charlotte,2022,penaltyYards,702,
Charlotte,2022,interceptionTDs,0,
Charlotte,2022,interceptions,14,
Charlotte,2022,passAttempts,429,
Charlotte,2022,passesIntercepted,9,
Charlotte,2022,passingTDs,27,
Charlotte,2022,tacklesForLoss,59,
Charlotte,2022,netPassingYards,3254,
Charlotte,2022,puntReturnTDs,0,
Charlotte,2022,thirdDownConversions,63,
Charlotte,2022,interceptionYards,7,
Charlotte,2022,passCompletions,257,
Charlotte,2022,fourthDownConversions,12,
Charlotte,2022,totalYards,4643,
Charlotte,2022,fourthDowns,34,
Charlotte,2022,fumblesLost,7,
Charlotte,2022,kickReturnYards,838,
Charlotte,2022,rushingTDs,13,
Charlotte,2022,rushingAttempts,371,
Charlotte,2022,possessionTime,21272,
Charlotte,2022,puntReturns,14,
Charlotte,2022,kickReturns,44,
Charlotte,2022,fumblesRecovered,7,
Charlotte,2022,games,12,
Charlotte,2022,puntReturnYards,107,
Charlotte,2022,kickReturnTDs,0,
Cincinnati,2022,passCompletions,249,
Cincinnati,2022,interceptionTDs,2,
Cincinnati,2022,games,13,
Cincinnati,2022,rushingTDs,19,
Cincinnati,2022,tacklesForLoss,87,
Cincinnati,2022,rushingYards,1686,
Cincinnati,2022,kickReturns,23,
Cincinnati,2022,kickReturnTDs,1,
Cincinnati,2022,interceptions,8,
Cincinnati,2022,netPassingYards,3155,
Cincinnati,2022,thirdDownConversions,66,
Cincinnati,2022,fumblesRecovered,13,
Cincinnati,2022,interceptionYards,104,
Cincinnati,2022,fumblesLost,6,
Cincinnati,2022,penalties,98,
Cincinnati,2022,passAttempts,417,
Cincinnati,2022,puntReturns,14,
Cincinnati,2022,passesIntercepted,11,
Cincinnati,2022,kickReturnYards,491,
Cincinnati,2022,rushingAttempts,426,
Cincinnati,2022,puntReturnTDs,0,
Cincinnati,2022,firstDowns,241,
Cincinnati,2022,puntReturnYards,159,
Cincinnati,2022,sacks,35,
Cincinnati,2022,fourthDownConversions,13,
Cincinnati,2022,turnovers,14,
Cincinnati,2022,penaltyYards,837,
Cincinnati,2022,totalYards,4841,
Cincinnati,2022,passingTDs,22,
Cincinnati,2022,possessionTime,22030,
Cincinnati,2022,fourthDowns,20,
Cincinnati,2022,thirdDowns,181,
Clemson,2022,games,14,
Clemson,2022,possessionTime,26214,
Clemson,2022,passCompletions,297,
Clemson,2022,puntReturnTDs,0,
Clemson,2022,thirdDowns,211,
Clemson,2022,firstDowns,319,
Clemson,2022,passesIntercepted,13,
Clemson,2022,interceptionYards,153,
Clemson,2022,fourthDownConversions,6,
Clemson,2022,rushingTDs,31,
Clemson,2022,rushingAttempts,548,
Clemson,2022,passingTDs,24,
Clemson,2022,rushingYards,2497,
Clemson,2022,totalYards,5744,
Clemson,2022,puntReturnYards,190,
Clemson,2022,thirdDownConversions,100,
Clemson,2022,fourthDowns,12,
Clemson,2022,puntReturns,29,
Clemson,2022,kickReturns,21,
Clemson,2022,penalties,76,
Clemson,2022,passAttempts,478,
Clemson,2022,sacks,43,
Clemson,2022,interceptions,10,
Clemson,2022,kickReturnYards,412,
